Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1674862037.2566652,2,232717,0,GPS1_Frame,42.337257385253906,-71.09010314941406,16.799999237060547,2.4000000953674316,327816.28125,4689338.0,232717.0,19.0,T
1674862042.2577403,3,232722,0,GPS1_Frame,42.33723449707031,-71.09009552001953,20.899999618530273,2.4000000953674316,327816.375,4689336.0,232722.0,19.0,T
1674862047.2571895,4,232727,0,GPS1_Frame,42.33723449707031,-71.09009552001953,20.799999237060547,2.4000000953674316,327816.5,4689336.0,232727.0,19.0,T
1674862052.2575452,5,232732,0,GPS1_Frame,42.33723449707031,-71.09008026123047,20.700000762939453,2.4000000953674316,327817.75,4689335.5,232732.0,19.0,T
1674862057.2576447,6,232737,0,GPS1_Frame,42.33723449707031,-71.09008026123047,20.700000762939453,2.4000000953674316,327817.875,4689335.5,232737.0,19.0,T
1674862062.2574587,7,232742,0,GPS1_Frame,42.33723068237305,-71.09008026123047,20.700000762939453,2.4000000953674316,327817.875,4689335.5,232742.0,19.0,T
1674862067.2574809,8,232747,0,GPS1_Frame,42.33723068237305,-71.09008026123047,20.700000762939453,2.4000000953674316,327818.0,4689335.5,232747.0,19.0,T
1674862072.2896202,9,232752,0,GPS1_Frame,42.33723068237305,-71.09008026123047,20.700000762939453,2.4000000953674316,327818.0,4689335.5,232752.0,19.0,T
1674862077.259817,10,232757,0,GPS1_Frame,42.33723068237305,-71.09008026123047,20.700000762939453,1.399999976158142,327818.15625,4689335.5,232757.0,19.0,T
1674862082.2592528,11,232802,0,GPS1_Frame,42.33723068237305,-71.09007263183594,20.700000762939453,1.399999976158142,327818.28125,4689335.5,232802.0,19.0,T
1674862087.2612817,12,232807,0,GPS1_Frame,42.33723068237305,-71.09007263183594,20.700000762939453,1.399999976158142,327818.28125,4689335.0,232807.0,19.0,T
1674862092.261417,13,232812,0,GPS1_Frame,42.33723068237305,-71.09007263183594,20.700000762939453,1.399999976158142,327818.40625,4689335.0,232812.0,19.0,T
1674862097.2616994,14,232817,0,GPS1_Frame,42.33723068237305,-71.09007263183594,20.700000762939453,1.399999976158142,327818.5625,4689335.0,232817.0,19.0,T
