Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1674861310.24889,24,231510,0,GPS1_Frame,42.339324951171875,-71.08635711669922,14.699999809265137,2.4000000953674316,328130.59375,4689560.5,231510.0,19.0,T
1674861315.2486176,25,231515,0,GPS1_Frame,42.3393669128418,-71.08638000488281,13.800000190734863,2.4000000953674316,328128.5,4689565.0,231515.0,19.0,T
1674861320.2471669,26,231520,0,GPS1_Frame,42.33938980102539,-71.0864028930664,14.0,2.4000000953674316,328126.9375,4689567.5,231520.0,19.0,T
1674861325.2488484,27,231525,0,GPS1_Frame,42.33940887451172,-71.08643341064453,15.0,2.4000000953674316,328124.09375,4689569.5,231525.0,19.0,T
1674861330.24896,28,231530,0,GPS1_Frame,42.33942413330078,-71.0864486694336,14.300000190734863,2.4000000953674316,328123.3125,4689571.5,231530.0,19.0,T
1674861335.2472937,29,231535,0,GPS1_Frame,42.33945083618164,-71.08645629882812,14.800000190734863,2.4000000953674316,328122.6875,4689574.5,231535.0,19.0,T
1674861340.247864,30,231540,0,GPS1_Frame,42.3394660949707,-71.08646392822266,15.699999809265137,2.4000000953674316,328121.90625,4689576.0,231540.0,19.0,T
1674861345.2483087,31,231545,0,GPS1_Frame,42.3394889831543,-71.08648681640625,17.799999237060547,2.4000000953674316,328120.34375,4689578.5,231545.0,19.0,T
1674861350.2496705,32,231550,0,GPS1_Frame,42.33951187133789,-71.08650970458984,20.700000762939453,2.4000000953674316,328118.34375,4689581.5,231550.0,19.0,T
1674861355.248013,33,231555,0,GPS1_Frame,42.339534759521484,-71.08654022216797,23.100000381469727,2.4000000953674316,328115.78125,4689584.0,231555.0,19.0,T
1674861360.2483776,34,231600,0,GPS1_Frame,42.33954620361328,-71.08657836914062,26.5,2.4000000953674316,328112.8125,4689585.5,231600.0,19.0,T
1674861365.2804012,35,231605,0,GPS1_Frame,42.33956527709961,-71.08659362792969,30.700000762939453,2.4000000953674316,328111.625,4689587.5,231605.0,19.0,T
1674861370.2485278,36,231610,0,GPS1_Frame,42.339576721191406,-71.08663177490234,34.29999923706055,2.4000000953674316,328108.21875,4689589.0,231610.0,19.0,T
1674861375.2474847,37,231615,0,GPS1_Frame,42.3395881652832,-71.086669921875,38.0,2.4000000953674316,328105.375,4689590.0,231615.0,19.0,T
1674861380.2478766,38,231620,0,GPS1_Frame,42.339603424072266,-71.08670043945312,40.5,2.4000000953674316,328102.65625,4689592.0,231620.0,19.0,T
1674861385.2487009,39,231625,0,GPS1_Frame,42.33962631225586,-71.08672332763672,43.20000076293945,2.4000000953674316,328100.8125,4689594.5,231625.0,19.0,T
1674861390.2491398,40,231630,0,GPS1_Frame,42.33964538574219,-71.08674621582031,44.0,2.4000000953674316,328098.9375,4689596.5,231630.0,19.0,T
1674861395.2482612,41,231635,0,GPS1_Frame,42.33966827392578,-71.0867691040039,44.0,2.4000000953674316,328097.0625,4689599.5,231635.0,19.0,T
1674861400.2473886,42,231640,0,GPS1_Frame,42.33968734741211,-71.08677673339844,40.20000076293945,2.4000000953674316,328096.4375,4689601.5,231640.0,19.0,T
1674861405.2481356,43,231645,0,GPS1_Frame,42.33974075317383,-71.08673858642578,33.20000076293945,2.4000000953674316,328100.15625,4689607.0,231645.0,19.0,T
1674861410.2481756,44,231650,0,GPS1_Frame,42.339778900146484,-71.08671569824219,27.5,2.4000000953674316,328102.1875,4689611.5,231650.0,19.0,T
1674861415.2809434,45,231655,0,GPS1_Frame,42.339813232421875,-71.08672332763672,24.200000762939453,2.4000000953674316,328101.1875,4689615.5,231655.0,19.0,T
1674861420.2481878,46,231700,0,GPS1_Frame,42.3398323059082,-71.08674621582031,24.700000762939453,2.4000000953674316,328099.3125,4689617.5,231700.0,19.0,T
1674861425.2511566,47,231705,0,GPS1_Frame,42.33985137939453,-71.08676147460938,26.100000381469727,2.4000000953674316,328098.65625,4689619.5,231705.0,19.0,T
1674861430.2476397,48,231710,0,GPS1_Frame,42.339866638183594,-71.08676147460938,26.5,2.4000000953674316,328098.3125,4689621.5,231710.0,19.0,T
1674861435.2480493,49,231715,0,GPS1_Frame,42.339900970458984,-71.0867691040039,26.399999618530273,2.4000000953674316,328098.125,4689625.0,231715.0,19.0,T
1674861440.2480497,50,231720,0,GPS1_Frame,42.33995819091797,-71.08673858642578,28.799999237060547,2.4000000953674316,328100.3125,4689631.0,231720.0,19.0,T
1674861445.24818,51,231725,0,GPS1_Frame,42.34000015258789,-71.08673858642578,29.600000381469727,2.4000000953674316,328100.84375,4689636.0,231725.0,19.0,T
1674861450.2466185,52,231730,0,GPS1_Frame,42.34003448486328,-71.08674621582031,32.400001525878906,2.4000000953674316,328100.25,4689639.5,231730.0,19.0,T
1674861455.246505,53,231735,0,GPS1_Frame,42.340065002441406,-71.08674621582031,35.400001525878906,2.4000000953674316,328100.21875,4689643.0,231735.0,19.0,T
1674861460.2470303,54,231740,0,GPS1_Frame,42.34010314941406,-71.08674621582031,38.70000076293945,2.4000000953674316,328100.03125,4689647.5,231740.0,19.0,T
1674861465.2472866,55,231745,0,GPS1_Frame,42.340152740478516,-71.08676147460938,42.0,2.4000000953674316,328099.34375,4689653.0,231745.0,19.0,T
1674861470.2469387,56,231750,0,GPS1_Frame,42.3401985168457,-71.0867691040039,45.70000076293945,2.4000000953674316,328098.5,4689658.0,231750.0,19.0,T
