Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1674860747.2838266,4,230547,0,GPS1_Frame,42.339839935302734,-71.08634185791016,58.79999923706055,4.800000190734863,328133.09375,4689617.5,230547.0,19.0,T
1674860752.2824693,5,230552,0,GPS1_Frame,42.33979415893555,-71.08625030517578,61.900001525878906,5.5,328140.125,4689612.0,230552.0,19.0,T
1674860757.2832096,6,230557,0,GPS1_Frame,42.339786529541016,-71.08625030517578,61.400001525878906,9.399999618530273,328140.375,4689611.5,230557.0,19.0,T
1674860762.2813005,7,230602,0,GPS1_Frame,42.3399543762207,-71.08645629882812,56.5,4.5,328123.53125,4689630.5,230602.0,19.0,T
1674860767.2839763,8,230607,0,GPS1_Frame,42.340110778808594,-71.0866470336914,54.0,2.4000000953674316,328108.5625,4689648.0,230607.0,19.0,T
1674860772.2841854,9,230612,0,GPS1_Frame,42.34012222290039,-71.086669921875,57.0,2.4000000953674316,328106.6875,4689649.5,230612.0,19.0,T
1674860777.2791922,10,230617,0,GPS1_Frame,42.340126037597656,-71.086669921875,58.70000076293945,4.5,328106.5625,4689650.0,230617.0,19.0,T
1674860782.283658,11,230622,0,GPS1_Frame,42.34014129638672,-71.08667755126953,61.0,2.4000000953674316,328105.90625,4689651.5,230622.0,19.0,T
1674860787.2853348,12,230627,0,GPS1_Frame,42.34017562866211,-71.08668518066406,66.69999694824219,2.4000000953674316,328105.3125,4689655.5,230627.0,19.0,T
1674860792.2863243,13,230632,0,GPS1_Frame,42.340179443359375,-71.08667755126953,68.0,2.4000000953674316,328106.4375,4689656.0,230632.0,19.0,T
1674860797.2826622,14,230637,0,GPS1_Frame,42.34018325805664,-71.086669921875,68.4000015258789,4.400000095367432,328106.71875,4689656.0,230637.0,19.0,T
1674860802.2851675,15,230642,0,GPS1_Frame,42.34018325805664,-71.086669921875,68.4000015258789,2.4000000953674316,328106.71875,4689656.0,230642.0,19.0,T
1674860807.2850242,16,230647,0,GPS1_Frame,42.34018325805664,-71.086669921875,68.30000305175781,2.4000000953674316,328106.71875,4689656.0,230647.0,19.0,T
